# confusable-homoglyphs 3.3.1
0	1F	COMMON
20	20	COMMON
21	23	COMMON
24	24	COMMON
25	27	COMMON
28	28	COMMON
29	29	COMMON
2A	2A	COMMON
2B	2B	COMMON
2C	2C	COMMON
2D	2D	COMMON
2E	2F	COMMON
30	39	COMMON
3A	3B	COMMON
3C	3E	COMMON
3F	40	COMMON
41	5A	LATIN
5B	5B	COMMON
5C	5C	COMMON
5D	5D	COMMON
5E	5E	COMMON
5F	5F	COMMON
60	60	COMMON
61	7A	LATIN
7B	7B	COMMON
7C	7C	COMMON
7D	7D	COMMON
7E	7E	COMMON
7F	9F	COMMON
A0	A0	COMMON
A1	A1	COMMON
A2	A5	COMMON
A6	A6	COMMON
A7	A7	COMMON
A8	A8	COMMON
A9	A9	COMMON
AA	AA	LATIN
AB	AB	COMMON
AC	AC	COMMON
AD	AD	COMMON
AE	AE	COMMON
AF	AF	COMMON
B0	B0	COMMON
B1	B1	COMMON
B2	B3	COMMON
B4	B4	COMMON
B5	B5	COMMON
B6	B7	COMMON
B8	B8	COMMON
B9	B9	COMMON
BA	BA	LATIN
BB	BB	COMMON
BC	BE	COMMON
BF	BF	COMMON
C0	D6	LATIN
D7	D7	COMMON
D8	F6	LATIN
F7	F7	COMMON
F8	1BA	LATIN
1BB	1BB	LATIN
1BC	1BF	LATIN
1C0	1C3	LATIN
1C4	293	LATIN
294	294	LATIN
295	2AF	LATIN
2B0	2B8	LATIN
2B9	2C1	COMMON
2C2	2C5	COMMON
2C6	2D1	COMMON
2D2	2DF	COMMON
2E0	2E4	LATIN
2E5	2E9	COMMON
2EA	2EB	BOPOMOFO
2EC	2EC	COMMON
2ED	2ED	COMMON
2EE	2EE	COMMON
2EF	2FF	COMMON
300	36F	INHERITED
370	373	GREEK
374	374	COMMON
375	375	GREEK
376	377	GREEK
37A	37A	GREEK
37B	37D	GREEK
37E	37E	COMMON
37F	37F	GREEK
384	384	GREEK
385	385	COMMON
386	386	GREEK
387	387	COMMON
388	38A	GREEK
38C	38C	GREEK
38E	3A1	GREEK
3A3	3E1	GREEK
3E2	3EF	COPTIC
3F0	3F5	GREEK
3F6	3F6	GREEK
3F7	3FF	GREEK
400	481	CYRILLIC
482	482	CYRILLIC
483	484	CYRILLIC
485	486	INHERITED
487	487	CYRILLIC
488	489	CYRILLIC
48A	52F	CYRILLIC
531	556	ARMENIAN
559	559	ARMENIAN
55A	55F	ARMENIAN
560	588	ARMENIAN
589	589	ARMENIAN
58A	58A	ARMENIAN
58D	58E	ARMENIAN
58F	58F	ARMENIAN
591	5BD	HEBREW
5BE	5BE	HEBREW
5BF	5BF	HEBREW
5C0	5C0	HEBREW
5C1	5C2	HEBREW
5C3	5C3	HEBREW
5C4	5C5	HEBREW
5C6	5C6	HEBREW
5C7	5C7	HEBREW
5D0	5EA	HEBREW
5EF	5F2	HEBREW
5F3	5F4	HEBREW
600	604	ARABIC
605	605	COMMON
606	608	ARABIC
609	60A	ARABIC
60B	60B	ARABIC
60C	60C	COMMON
60D	60D	ARABIC
